mol,M+H,M+H[C13],M+H[2C13],M+K,M+Na,M+K[C13],M+Na[C13],[M-H2O]+H,[M-CH2O2]+H,[M-CO]+H,[M-C2H2]+H,[M-NH3]+H,M+K[2C13],M+Na[2C13],[M-H2O]+H[C13],[M-CH2O2]+H[C13],[M-CO]+H[C13],[M-C2H2]+H[C13],[M-NH3]+H[C13],[M-H2O]+H[2C13],[M-CH2O2]+H[2C13],[M-CO]+H[2C13],[M-C2H2]+H[2C13],[M-NH3]+H[2C13],2M+H,M+2H,M+ACN+H,M+H+CH3OH,M+NH4,M+CH2O2+H,2M+H[C13],M+2H[C13],M+ACN+H[C13],M+H+CH3OH[C13],M+NH4[C13],M+CH2O2+H[C13],2M+H[2C13],2M+H[3C13],2M+H[4C13],M+2H[2C13],M+ACN+H[2C13],M+H+CH3OH[2C13],M+NH4[2C13],M+CH2O2+H[2C13],[M-H2O]+K,[M-CH2O2]+K,[M-CO]+K,[M-C2H2]+K,[M-NH3]+K,[M-H2O]+Na,[M-CH2O2]+Na,[M-CO]+Na,[M-C2H2]+Na,[M-NH3]+Na,[M-H2O]+K[C13],[M-CH2O2]+K[C13],[M-CO]+K[C13],[M-C2H2]+K[C13],[M-NH3]+K[C13],[M-H2O]+Na[C13],[M-CH2O2]+Na[C13],[M-CO]+Na[C13],[M-C2H2]+Na[C13],[M-NH3]+Na[C13],[M-H2O]+K[2C13],[M-CH2O2]+K[2C13],[M-CO]+K[2C13],[M-C2H2]+K[2C13],[M-NH3]+K[2C13],[M-H2O]+Na[2C13],[M-CH2O2]+Na[2C13],[M-CO]+Na[2C13],[M-C2H2]+Na[2C13],[M-NH3]+Na[2C13],[2M-H2O]+H,[2M-CH2O2]+H,[2M-CO]+H,[2M-C2H2]+H,[2M-NH3]+H,[M-H2O]+H+H,[M-CH2O2]+H+H,[M-CO]+H+H,[M-C2H2]+H+H,[M-NH3]+H+H,[M-H2O]+ACN+H,[M-CH2O2]+ACN+H,[M-CO]+ACN+H,[M-C2H2]+ACN+H,[M-NH3]+ACN+H,[M-H2O]+H+CH3OH,[M-CH2O2]+H+CH3OH,[M-CO]+H+CH3OH,[M-C2H2]+H+CH3OH,[M-NH3]+H+CH3OH,[M-H2O]+NH4,[M-CH2O2]+NH4,[M-CO]+NH4,[M-C2H2]+NH4,[M-NH3]+NH4,[M-H2O]+CH2O2+H,[M-CH2O2]+CH2O2+H,[M-CO]+CH2O2+H,[M-C2H2]+CH2O2+H,[M-NH3]+CH2O2+H,[2M-H2O]+H[C13],[2M-CH2O2]+H[C13],[2M-CO]+H[C13],[2M-C2H2]+H[C13],[2M-NH3]+H[C13],[M-H2O]+H+H[C13],[M-CH2O2]+H+H[C13],[M-CO]+H+H[C13],[M-C2H2]+H+H[C13],[M-NH3]+H+H[C13],[M-H2O]+ACN+H[C13],[M-CH2O2]+ACN+H[C13],[M-CO]+ACN+H[C13],[M-C2H2]+ACN+H[C13],[M-NH3]+ACN+H[C13],[M-H2O]+H+CH3OH[C13],[M-CH2O2]+H+CH3OH[C13],[M-CO]+H+CH3OH[C13],[M-C2H2]+H+CH3OH[C13],[M-NH3]+H+CH3OH[C13],[M-H2O]+NH4[C13],[M-CH2O2]+NH4[C13],[M-CO]+NH4[C13],[M-C2H2]+NH4[C13],[M-NH3]+NH4[C13],[M-H2O]+CH2O2+H[C13],[M-CH2O2]+CH2O2+H[C13],[M-CO]+CH2O2+H[C13],[M-C2H2]+CH2O2+H[C13],[M-NH3]+CH2O2+H[C13],[2M-H2O]+H[2C13],[2M-H2O]+H[3C13],[2M-H2O]+H[4C13],[2M-CH2O2]+H[2C13],[2M-CH2O2]+H[3C13],[2M-CH2O2]+H[4C13],[2M-CO]+H[2C13],[2M-CO]+H[3C13],[2M-CO]+H[4C13],[2M-C2H2]+H[2C13],[2M-C2H2]+H[3C13],[2M-C2H2]+H[4C13],[2M-NH3]+H[2C13],[2M-NH3]+H[3C13],[2M-NH3]+H[4C13],[M-H2O]+H+H[2C13],[M-CH2O2]+H+H[2C13],[M-CO]+H+H[2C13],[M-C2H2]+H+H[2C13],[M-NH3]+H+H[2C13],[M-H2O]+ACN+H[2C13],[M-CH2O2]+ACN+H[2C13],[M-CO]+ACN+H[2C13],[M-C2H2]+ACN+H[2C13],[M-NH3]+ACN+H[2C13],[M-H2O]+H+CH3OH[2C13],[M-CH2O2]+H+CH3OH[2C13],[M-CO]+H+CH3OH[2C13],[M-C2H2]+H+CH3OH[2C13],[M-NH3]+H+CH3OH[2C13],[M-H2O]+NH4[2C13],[M-CH2O2]+NH4[2C13],[M-CO]+NH4[2C13],[M-C2H2]+NH4[2C13],[M-NH3]+NH4[2C13],[M-H2O]+CH2O2+H[2C13],[M-CH2O2]+CH2O2+H[2C13],[M-CO]+CH2O2+H[2C13],[M-C2H2]+CH2O2+H[2C13],[M-NH3]+CH2O2+H[2C13]
Nicotinamide,7.59e+07,5.24e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Arginine,1.94e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Homocysteine,2.84e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aminobutan-4-olide,8.03e+07,3.80e+06,,,,,,1.14e+06,,3.04e+06,,,,,,,,,,,,,,,,,,9.41e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Aminolevulinate,3.49e+08,1.92e+07,,,1.30e+07,,,8.58e+07,2.99e+06,,,,,,4.41e+06,,,,,,,,,,4.96e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,1.46e+07,6.57e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-L-Glutamyl-L-cysteine,2.46e+07,,,,7.55e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choline phosphate,3.22e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Glutamine,,,,,,,,2.37e+06,,,2.00e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Cystine,9.10e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercaptoethanol,4.89e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oxoproline,1.34e+08,,,,3.23e+06,,,,1.58e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-Acetylcarnitine,2.56e+09,2.43e+08,2.45e+07,,,,,,,,,,,,,,,,,,,,,,2.01e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine,4.84e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choline,2.92e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
